TimeGenerated,UserPrincipalName,IPAddress,Location,Country,ResultType,ResultDescription,AppDisplayName,DeviceDetail,RiskLevel,ClientApp
2026-07-20T07:01:00Z,daniel@cloudora.example,81.2.69.10,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T07:03:00Z,ben@cloudora.example,103.25.44.21,Bengaluru,India,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T07:04:00Z,alice@cloudora.example,81.2.69.10,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T07:05:00Z,ben@cloudora.example,81.2.69.11,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T07:05:00Z,david@cloudora.example,103.25.44.20,Bengaluru,India,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T07:09:00Z,carol@cloudora.example,103.25.44.21,Bengaluru,India,50126,Invalid username or password,Microsoft 365,Windows 11,low,Browser
2026-07-20T07:10:00Z,ben@cloudora.example,103.25.44.20,Bengaluru,India,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T07:14:00Z,priya@cloudora.example,81.2.69.10,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T07:24:00Z,ben@cloudora.example,81.2.69.12,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T07:25:00Z,alice@cloudora.example,81.2.69.12,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T07:29:00Z,carol@cloudora.example,103.25.44.21,Bengaluru,India,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T07:37:00Z,alice@cloudora.example,103.25.44.21,Bengaluru,India,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T07:38:00Z,omar@cloudora.example,81.2.69.12,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T07:42:00Z,carol@cloudora.example,103.25.44.21,Bengaluru,India,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T07:45:00Z,emma@cloudora.example,103.25.44.20,Bengaluru,India,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:01:00Z,daniel@cloudora.example,81.2.69.12,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:02:00Z,daniel@cloudora.example,81.2.69.11,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:03:00Z,ben@cloudora.example,103.25.44.21,Bengaluru,India,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:05:00Z,daniel@cloudora.example,103.25.44.20,Bengaluru,India,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:09:00Z,omar@cloudora.example,81.2.69.11,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:13:00Z,priya@cloudora.example,103.25.44.21,Bengaluru,India,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:15:00Z,ben@cloudora.example,81.2.69.11,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:18:00Z,omar@cloudora.example,103.25.44.20,Bengaluru,India,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:22:00Z,daniel@cloudora.example,81.2.69.12,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:24:00Z,daniel@cloudora.example,81.2.69.12,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:24:00Z,omar@cloudora.example,103.25.44.20,Bengaluru,India,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:28:00Z,ben@cloudora.example,103.25.44.21,Bengaluru,India,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:37:00Z,daniel@cloudora.example,103.25.44.20,Bengaluru,India,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:38:00Z,ben@cloudora.example,81.2.69.10,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:42:00Z,alice@cloudora.example,103.25.44.20,Bengaluru,India,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:43:00Z,daniel@cloudora.example,103.25.44.21,Bengaluru,India,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:48:00Z,priya@cloudora.example,81.2.69.10,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:54:00Z,ben@cloudora.example,81.2.69.11,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:56:00Z,carol@cloudora.example,81.2.69.11,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T08:56:00Z,david@cloudora.example,81.2.69.11,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T09:03:00Z,ben@cloudora.example,103.25.44.21,Bengaluru,India,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T09:12:00Z,ben@cloudora.example,81.2.69.12,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T09:16:00Z,alice@cloudora.example,103.25.44.21,Bengaluru,India,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T09:16:00Z,priya@cloudora.example,81.2.69.11,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T09:16:00Z,carol@cloudora.example,81.2.69.10,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T09:23:00Z,priya@cloudora.example,81.2.69.12,London,United Kingdom,0,Success,Microsoft 365,Windows 11,none,Browser
2026-07-20T09:26:00Z,ben@cloudora.example,103.25.44.20,Bengaluru,India,0,Success,Microsoft 365,Windows 11,none,Browser
